;1;4;5;6;8;11;12;17;18;19;20;23;27;31;34;35;36;37;39;42;47;53;54;58;61;66;69;73;74;75;79;80;81;87;89;90;101;103;112;114;115;118;120;121;122;125;126;127;129;130;133;139;141;142
23;0;0.013355;0;0;0;0.007528;0;0.008374;0;0.00467;0.010487;0;0.007704;0.00256;0;0.003528;0.002642;0;0.006302;0.005086;0.003842;0;0;0;0;0;0;0;0;0.008563;0;0.004517;0.00492;0;0.005147;0;0;0;0.006122;0;0;0;0;0;0.002604;0.021186;0;0;0;0;0.010788;0.009066;0.004078;0.003207
27;0;0;0.015561;0.032062;0;0;0;0.011435;0.005376;0.006711;0;0.007602;0;0.003559;0;0.006308;0.003956;0.012678;0;0.00748;0.006072;0;0.005817;0;0;0;0.006581;0;0;0;0;0.005567;0;0;0;0;0;0;0.009034;0.006723;0;0;0;0;0.003675;0;0.010116;0;0;0;0;0.012714;0.005343;0.005197
31;0.004636;0;0.010036;0;0.004473;0.006443;0.003672;0;0.001827;0.003974;0.008978;0;0.00548;0;0;0.00302;0.001875;0.008475;0.004101;0.004016;0.003505;0.003364;0;0;0.012081;0.00504;0.004881;0.002312;0.007132;0.007477;0.004256;0;0.004307;0.005433;0.004663;0;0.003602;0.003028;0.005794;0.003557;0.00288;0.002895;0;0.001974;0;0.015907;0.005112;0.003657;0.007646;0.005033;0.007084;0.006997;0.002764;0.003223
34;0;0;0;0;0;0.009926;0;0.011616;0.003961;0;0.011732;0;0;0.003802;0;0.00424;0.003567;0;0;0;0.005036;0.005788;0;0;0;0;0.005674;0.003977;0;0.011989;0.007912;0.005293;0;0;0;0;0;0;0.008072;0;0;0;0;0.003181;0.002476;0;0.008419;0.006953;0;0;0.012965;0;0;0.003732
35;0;0;0.010811;0;0.005223;0.00762;0.004859;0;0.003288;0.004428;0.009437;0.005377;0.005668;0.002825;0;0;0.002604;0.007526;0.005086;0.004855;0.003583;0.003993;0.002921;0.003134;0.013748;0.005751;0.003833;0;0.009243;0.008413;0.005259;0.003466;0.004729;0;0.0061;0.01044;0.003834;0.003308;0.005261;0.00303;0;0;0.002953;0;0.002221;0.018802;0;0.004764;0.008188;0.006024;0.009212;0.007148;0;0.003508
36;0.005349;0.010948;0.007926;0.017032;0;0;0.004127;0;0.002484;0.003355;0.008208;0.003415;0.005278;0.002322;0.00485;0.002277;0;0.007347;0;0.003125;0.002746;0.002848;0;0;0;0;0.003289;0.002717;0.008135;0.006787;0.003619;0;0;0.005189;0;0.008905;0;0.003014;0.005506;0.003088;0.001599;0.00315;0.002684;0.001803;0;0;0.005108;0.0034;0.007417;0.004668;0.006435;0.005814;0.002762;0.002721
37;0;0.022688;0.018762;0.034056;0.009049;0.011992;0;0.014595;0;0;0;0.007894;0;0;0;0.006427;0.004628;0;0;0;0;0.007118;0;0;0;0;0;0.005037;0;0;0;0;0;0;0;0;0.006805;0;0.009549;0.007411;0;0.006498;0.004393;0.004992;0.004768;0;0.011826;0;0.014673;0.010593;0.017249;0.014188;0.005591;0.006468
39;0;0;0;0;0;0.009537;0;0;0;0.006448;0;0;0;0.00315;0;0.004461;0.003745;0;0;0;0.0054;0;0.004852;0;0;0;0;0;0;0.012037;0;0;0;0;0;0;0;0;0.008084;0;0.004007;0;0;0.003248;0.002945;0;0.008261;0;0;0;0;0;0.00374;0.005062
42;0;0;0.012496;0;0;0.007751;0;0.010433;0.003784;0;0;0;0.007865;0.002936;0.005934;0.003691;0.003452;0;0;0;0;0.00494;0;0;0;0;0;0;0;0;0;0;0;0;0.008153;0;0;0.003597;0.005157;0.00497;0;0;0;0.003232;0;0;0.007446;0;0;0.007036;0;0;0.004052;0.004483
47;0.005459;0;0.010058;0.01709;0.005061;0.00733;0;0.007192;0;0.00454;0.008084;0.004082;0.005011;0.00223;0.00464;0.002822;0.002793;0;0;0;0;0.003189;0.003177;0.003403;0;0.004792;0;0.002929;0.007482;0.008357;0.005736;0.003522;0;0;0.006209;0.009136;0.00273;0.002493;0.005581;0.004092;0.002763;0.004012;0.002661;0.002933;0.002368;0;0;0;0.008024;0.005286;0;0;0.003659;0.003701
