24;0;0.003425;0;0;0.005036;0.002712;0.003703;0;0.001722;0;0.009159;0.009362;0;0.002354;0.002908;0;0.003504;0.003649;0;0.004625;0.003654;0;0;0.003586;0.005131;0;0;0;0;0;0;0.003159;0;0;0.003114
26;0.006646;0.004359;0.00809;0;0.007279;0.004942;0.005033;0.004933;0;0.007286;0;0.013988;0.009611;0.003773;0.004443;0;0.005302;0;0.006359;0.008201;0.004547;0.008445;0.009511;0.006742;0.007392;0.006419;0.007355;0;0.006754;0;0.004949;0.005954;0.005263;0.005507;0.004205
28;0.0072;0.004979;0;0.00888;0;0.003936;0;0;0.003804;0.007131;0.015208;0;0.008829;0.004035;0;0.004975;0.005425;0;0.007278;0;0.005603;0.008882;0;0.006684;0.00771;0.006567;0;0.015117;0.006602;0.006617;0.004996;0.006091;0.005935;0;0.004961
40;0;0.002979;0.00615;0;0.005391;0;0.003954;0.00399;0.002143;0;0.009773;0;0;0.00339;0.002833;0.003348;0.003428;0;0.004033;0.005544;0.003743;0.005799;0.006026;0;0.005252;0.00505;0.004591;0;0.00482;0;0.004107;0.004013;0.004236;0.003709;0
41;0.003128;0;0;0.003996;0;0.001547;0.002523;0;0.001222;0;0.006903;0.006836;0.003832;0;0;0;0.002301;0;0.002932;0.003565;0;0;0.003578;0.003545;0;0.002252;0.003112;0.006107;0;0.003269;0.002641;0.001696;0;0;0.002417
43;0.003044;0;0.004103;0;0.003673;0.002145;0;0.00292;0.001497;0;0.007244;0;0;0;0;0;0;0.002698;0.003491;0.003903;0.002599;0.003487;0.003439;0.0036;0;0.003446;0;0;0.003097;0;0.002841;0.001762;0;0.002966;0.002595
45;0.003529;0;0.004374;0.004298;0.003651;0.002411;0.002675;0.002985;0.001711;0.003292;0;0;0.004307;0.001829;0;0;0.002796;0.003234;0.003928;0.003802;0.002735;0.004739;0;0;0.003653;0;0.003705;0;0;0.003633;0.002735;0.002729;0.002653;0.002558;0.002046
48;0.003168;0.002682;0;0.004604;0.004243;0.002096;0.002947;0.003061;0.002236;0.003407;0.006512;0.007526;0.004764;0.001689;0.001844;0.00282;0;0.003404;0.003225;0.005258;0.001985;0.004867;0.004996;0;0.003872;0.003331;0;0;0.003764;0.003135;0.002342;0.002748;0.002601;0.002868;0.00276
51;0;0.002308;0.004912;0.00498;0.003798;0.002598;0;0;0.001666;0.002877;0;0;0;0.00252;0.002739;0;0;0;0;0.003442;0.002706;0.004046;0.003842;0.003302;0.003848;0.003671;0.003507;0.007539;0.002908;0.002742;0.002531;0.002875;0.002955;0.00362;0
52;0.003812;0;0;0;0.004344;0;0.00387;0;0.001919;0;0;0.009023;0;0.002453;0;0;0.002653;0;0;0.00539;0.003611;0;0.004736;0.004252;0.004925;0.003563;0.0036;0;0.004314;0.003414;0;0.003331;0.002655;0;0.002855
55;0;0.00312;0.006797;0;0.006228;0;0.005024;0;0.002109;0.005015;0.010729;0.010968;0.00739;0.00353;0.003928;0;0.004052;0.004048;0;0;0.003388;0;0.00692;0.004624;0.005348;0.004975;0.005392;0.00984;0.004295;0.005181;0.004381;0.004674;0.003453;0.00442;0.003181
56;0.003388;0;0;0.003621;0.002661;0.001598;0;0.003193;0.001659;0.0028;0;0.00664;0.005121;0.00251;0.002228;0.003079;0.003227;0;0.003282;0.004949;0;0.004462;0;0.003635;0;0;0.0038;0.006586;0.002714;0;0.003106;0;0;0.003246;0.002678
57;0;0;0.00645;0;0.005882;0.003443;0.004542;0.004164;0.002618;0.005104;0.010709;0.011064;0.007064;0.003152;0.003657;0;0.004139;0.004614;0;0.005896;0.003515;0;0.007057;0;0.005936;0.004686;0;0.011007;0.005118;0;0.004023;0.003789;0.004516;0;0.003496
