24;0;0.012236;0.004376;0;0.003208;0.004383;0.005834;0;0;0;0;0;0;0;0.006807;0.004687;0;0.003723;0;0;0;0;0.005325;0;0;0.004981;0;0;0;0.011811;0.006423;0.002946;0.005704;0;0;0.002443;0.005403;0.003663;0.003416
27;0;0;0.006004;0;0;0;0;0.007122;0.007148;0;0;0;0;0;0;0;0.004272;0;0;0.01292;0;0.003278;0;0;0;0.007083;0.002946;0;0;0;0.010134;0.004163;0;0;0;0.005589;0.007934;0.005415;0.006038
32;0;0.023834;0.006255;0;0;0;0.008151;0.00714;0.005756;0;0;0;0;0.005321;0;0;0;0.005593;0.005776;0;0;0;0;0;0.004824;0.010609;0.004253;0;0.006098;0;0.007791;0.003961;0;0.00862;0;0.005355;0.007789;0;0.005668
33;0;0.061121;0.016344;0;0.011353;0.015404;0.019669;0;0;0;0;0;0;0;0;0.015445;0;0.012885;0;0;0;0;0;0;0;0.017762;0.011811;0;0;0;0;0.010904;0;0;0;0.013773;0.019838;0.013985;0.016105
38;0;0;0.006454;0.003013;0;0.004512;0;0;0;0;0;0.006671;0;0;0;0;0;0;0;0;0;0.002815;0;0;0;0.007277;0;0;0.004342;0.012474;0.006679;0.003366;0.006593;0;0;0;0.006914;0.003764;0.004594
41;0;0;0;0.003885;0;0;0;0.006087;0;0.006527;0;0.010073;0;0;0;0;0.004284;0;0;0.016184;0;0.003359;0;0;0;0.010973;0;0;0;0;0.010706;0.005186;0;0;0;0.006586;0;0.004302;0.007207
45;0.00496;0;0.007082;0.003036;0;0.004212;0;0.003983;0;0.003272;0;0;0.031276;0;0;0;0.003138;0;0;0.01259;0;0.003373;0;0.004361;0;0.007399;0.003371;0.016809;0.004714;0;0.007317;0;0.007468;0.007237;0;0;0.007231;0.003977;0.005421
47;0;0;0.004166;0;0;0.002858;0.005598;0;0.004894;0;0;0.005736;0;0;0;0.003446;0;0.004145;0.005404;0.010481;0.0031;0;0.006294;0;0.003393;0.006781;0.00245;0;0;0.009323;0.004773;0.003201;0.005844;0;0;0.002905;0.005137;0.004181;0.002815
49;0.003436;0;0;0.002173;0;0.004989;0;0.004308;0;0.002988;0.006239;0.006407;0.021509;0;0;0;0.003212;0;0;0.009724;0;0.002117;0.005377;0.004381;0;0.005921;0.003569;0.011832;0;0;0;0;0.007499;0;0.01654;0;0;0.00373;0.00456
52;0.005912;0;0;0.003124;0;0.005198;0.007918;0.004592;0;0.005728;0.008618;0.007377;0.025784;0;0;0;0.003731;0;0;0.012326;0;0.003448;0.008391;0.007165;0;0.008864;0.003473;0.016803;0.004916;0;0;0.004071;0.007663;0.008399;0;0.004239;0;0.00517;0.005544
